panel,concept,estimand,point,lower_95,upper_95
broad,chemistry-based,total_evasion,0.39478302001953125,0.37652587890625,0.41297931671142574
broad,comforting,total_evasion,0.7016054391860962,0.6723175160586834,0.7297180742025375
broad,confused,total_evasion,0.6381149291992188,0.6252632141113281,0.6503642082214355
broad,finnish,total_evasion,0.6502666473388672,0.6365756034851074,0.6624623298645019
broad,german,total_evasion,0.4995152950286865,0.48025465905666354,0.5188161641359329
broad,jokey,total_evasion,0.27900123596191406,0.26650209426879884,0.291286563873291
broad,literature-focused,total_evasion,0.46799508458934724,0.43111649520578793,0.5065644987567793
broad,mathematical,total_evasion,0.2487204670906067,0.21600193232297898,0.2817272409796714
broad,MACRO,K12_recovery,0.31633454355919227,0.3117659480881147,0.3209880528659348
broad,HTML,K12_recovery,0.25873565673828125,0.2482982635498047,0.2692949295043945
broad,all-caps,K12_recovery,0.274810791015625,0.265625,0.283660888671875
broad,biology-focused,K12_recovery,0.181915283203125,0.16149110794067384,0.2033469200134277
broad,chemistry-based,K12_recovery,0.29988861083984375,0.2844846725463867,0.3154376983642578
broad,comforting,K12_recovery,0.7299944162368774,0.7049503214657307,0.7539448037743568
broad,confused,K12_recovery,0.43634796142578125,0.4233283996582031,0.4490318298339844
broad,finnish,K12_recovery,0.5751934051513672,0.5616759777069091,0.5876809120178222
broad,german,K12_recovery,0.3180577754974365,0.3024137198925018,0.33351798057556153
broad,jokey,K12_recovery,0.2165508270263672,0.20705022811889648,0.2258129596710205
broad,literature-focused,K12_recovery,0.0581867469009012,0.0465332814012072,0.0706083894969197
broad,mathematical,K12_recovery,0.12999850511550903,0.1122880682349205,0.14831012934446336
broad,MACRO,K12_induction,0.3682511765086515,0.3619730598568408,0.3745678470745175
broad,HTML,K12_induction,0.23879241943359375,0.22869091033935546,0.248779296875
broad,all-caps,K12_induction,0.110260009765625,0.105072021484375,0.115386962890625
broad,biology-focused,K12_induction,0.3263511657714844,0.2996824264526367,0.35330610275268554
broad,chemistry-based,K12_induction,0.31787872314453125,0.30225372314453125,0.33317604064941403
broad,comforting,K12_induction,0.6897569000720978,0.6614563770592212,0.7169009730219841
broad,confused,K12_induction,0.481201171875,0.47142772674560546,0.49053974151611324
broad,finnish,K12_induction,0.5591926574707031,0.5472105979919434,0.5701677322387695
broad,german,K12_induction,0.4654660224914551,0.4478048324584961,0.48320306539535524
broad,jokey,K12_induction,0.1688995361328125,0.1609037399291992,0.1769256591796875
broad,literature-focused,K12_induction,0.46397330379113555,0.4269563988200389,0.5014557506307028
broad,mathematical,K12_induction,0.22899103164672852,0.19888167977333068,0.26020687818527216
